;ADS_Index
1960:03:01;-0.580138
1960:03:02;-0.628793
1960:03:03;-0.674361
1960:03:04;-0.716859
1960:03:05;-0.756303
1960:03:06;-0.79271
1960:03:07;-0.826092
1960:03:08;-0.856464
1960:03:09;-0.883837
1960:03:10;-0.908221
1960:03:11;-0.929627
1960:03:12;-0.948062
1960:03:13;-0.963534
1960:03:14;-0.976049
1960:03:15;-0.985611
1960:03:16;-0.992225
1960:03:17;-0.995893
1960:03:18;-0.996616
1960:03:19;-0.994395
1960:03:20;-0.989229
1960:03:21;-0.981116
1960:03:22;-0.970052
1960:03:23;-0.956034
1960:03:24;-0.939055
1960:03:25;-0.91911
1960:03:26;-0.89619
1960:03:27;-0.870287
1960:03:28;-0.84139
1960:03:29;-0.809488
1960:03:30;-0.774569
1960:03:31;-0.73662
1960:04:01;-0.695624
1960:04:02;-0.658001
1960:04:03;-0.623736
1960:04:04;-0.592815
1960:04:05;-0.565227
1960:04:06;-0.54096
1960:04:07;-0.520005
1960:04:08;-0.502355
1960:04:09;-0.488001
1960:04:10;-0.476939
1960:04:11;-0.469165
1960:04:12;-0.464674
1960:04:13;-0.463466
1960:04:14;-0.46554
1960:04:15;-0.470896
1960:04:16;-0.479537
1960:04:17;-0.491467
1960:04:18;-0.506689
1960:04:19;-0.525211
1960:04:20;-0.547038
1960:04:21;-0.57218
1960:04:22;-0.600646
1960:04:23;-0.632448
1960:04:24;-0.667597
1960:04:25;-0.706108
1960:04:26;-0.747996
1960:04:27;-0.793276
1960:04:28;-0.841968
1960:04:29;-0.894088
1960:04:30;-0.949659
1960:05:01;-1.0087
1960:05:02;-1.06544
1960:05:03;-1.11991
1960:05:04;-1.17211
1960:05:05;-1.22208
1960:05:06;-1.26983
1960:05:07;-1.31538
1960:05:08;-1.35875
1960:05:09;-1.39995
1960:05:10;-1.43901
1960:05:11;-1.47593
1960:05:12;-1.51074
1960:05:13;-1.54343
1960:05:14;-1.57404
1960:05:15;-1.60257
1960:05:16;-1.62902
1960:05:17;-1.65342
1960:05:18;-1.67577
1960:05:19;-1.69608
1960:05:20;-1.71435
1960:05:21;-1.7306
1960:05:22;-1.74483
1960:05:23;-1.75705
1960:05:24;-1.76725
1960:05:25;-1.77546
1960:05:26;-1.78166
1960:05:27;-1.78586
1960:05:28;-1.78806
1960:05:29;-1.78826
1960:05:30;-1.78647
1960:05:31;-1.78268
1960:06:01;-1.77689
1960:06:02;-1.77037
1960:06:03;-1.76312
1960:06:04;-1.75513
1960:06:05;-1.7464
1960:06:06;-1.73692
1960:06:07;-1.7267
1960:06:08;-1.71572
1960:06:09;-1.70399
1960:06:10;-1.6915
1960:06:11;-1.67825
1960:06:12;-1.66422
1960:06:13;-1.64942
1960:06:14;-1.63384
1960:06:15;-1.61747
1960:06:16;-1.6003
1960:06:17;-1.58234
1960:06:18;-1.56356
1960:06:19;-1.54398
1960:06:20;-1.52357
1960:06:21;-1.50232
1960:06:22;-1.48024
1960:06:23;-1.45732
1960:06:24;-1.43353
1960:06:25;-1.40888
1960:06:26;-1.38336
1960:06:27;-1.35695
1960:06:28;-1.32964
1960:06:29;-1.30143
1960:06:30;-1.2723
