caldt,b30ret,b30ind,b20ret,b20ind,b10ret,b10ind,b7ret,b7ind,b5ret,b5ind,b2ret,b2ind,b1ret,b1ind,t90ret,t90ind,t30ret,t30ind,cpiret,cpiind
2000-01-31,0.004485,809.188600,0.017036,950.979900,-0.009797,929.323600,-0.005052,962.660600,-0.005587,894.388300,-0.001417,854.695100,0.002476,851.904500,0.004339,720.889300,0.004343,608.660200,0.002971,397.2
2000-02-29,0.036776,838.947300,0.030678,980.154000,0.013598,941.960500,0.009505,971.810700,0.009169,902.588900,0.006842,860.543000,0.005797,856.843000,0.004262,723.961700,0.004295,611.274500,0.005924,399.5
2000-03-31,0.047912,879.143000,0.034984,1014.444000,0.034752,974.695500,0.027027,998.075800,0.017635,918.506100,0.006593,866.216500,0.005338,861.416800,0.004793,727.431600,0.004377,613.950200,0.008245,402.8
2000-04-28,-0.013274,867.473200,-0.007828,1006.503000,-0.010026,964.923200,-0.006717,991.371700,-0.004274,914.580400,0.001496,867.512400,0.003549,864.474000,0.004941,731.025900,0.004595,616.771300,0.000584,403.1
2000-05-31,-0.000867,866.721100,-0.004246,1002.229000,0.001771,966.632100,0.005836,997.157400,0.004903,919.064600,0.004925,871.784900,0.004305,868.195500,0.006164,735.531900,0.004782,619.720700,0.001168,403.5
2000-06-30,0.020563,884.543500,0.020999,1023.275000,0.022074,987.969500,0.019042,1016.145000,0.018501,936.068200,0.011403,881.725800,0.007794,874.962300,0.004348,738.730000,0.003744,622.041000,0.005248,405.6
2000-07-31,0.020272,902.475000,0.018508,1042.214000,0.004640,992.553700,0.008591,1024.875000,0.007200,942.807900,0.006752,887.679300,0.005483,879.759700,0.004468,742.030700,0.004772,625.009300,0.002320,406.6
2000-08-31,0.020774,921.223000,0.022423,1065.583000,0.016603,1009.033000,0.015843,1041.112000,0.013304,955.351000,0.007772,894.578300,0.005976,885.017100,0.005156,745.856600,0.005002,628.135700,0.000000,406.6
2000-09-29,-0.024577,898.582100,-0.013494,1051.204000,-0.001323,1007.698000,0.007017,1048.418000,0.010004,964.908300,0.007983,901.719700,0.005337,889.740500,0.005281,749.795400,0.005093,631.334800,0.005208,408.7
2000-10-31,0.018404,915.119600,0.017418,1069.514000,0.008647,1016.412000,0.009339,1058.209000,0.008094,972.718300,0.006054,907.178700,0.004956,894.150000,0.005153,753.659100,0.005217,634.628500,0.001727,409.4
2000-11-30,0.029119,941.767000,0.030494,1102.128000,0.025641,1042.474000,0.024855,1084.510000,0.016327,988.599900,0.010289,916.512700,0.006788,900.219500,0.005437,757.756800,0.004966,637.780200,0.000575,409.6
2000-12-29,0.026450,966.676700,0.026133,1130.930000,0.030723,1074.501000,0.023028,1109.485000,0.023355,1011.689000,0.012919,928.353100,0.009996,909.218100,0.005512,761.933500,0.004909,640.911000,-0.000574,409.4
2001-01-31,-0.001917,964.823600,0.002511,1133.769000,0.004164,1078.976000,0.011923,1122.713000,0.013510,1025.357000,0.013519,940.903600,0.012048,920.172400,0.006900,767.190900,0.005243,644.271300,0.006322,412.0
2001-02-28,0.014203,978.527000,0.018639,1154.902000,0.011636,1091.531000,0.012849,1137.139000,0.011310,1036.953000,0.006873,947.370400,0.004732,924.526600,0.003967,770.234300,0.003653,646.624900,0.003998,413.6
2001-03-30,-0.014758,964.085900,-0.007316,1146.453000,0.002750,1094.532000,0.006763,1144.829000,0.008259,1045.518000,0.007193,954.184800,0.007367,931.337600,0.004678,773.837500,0.004320,649.418300,0.002275,414.6
2001-04-30,-0.043105,922.528900,-0.031123,1110.772000,-0.027449,1064.488000,-0.015447,1127.145000,-0.008237,1036.906000,0.002154,956.240100,0.004721,935.734500,0.004470,777.296500,0.003864,651.927600,0.003973,416.2
2001-05-31,0.008805,930.651800,0.003703,1114.885000,0.001373,1065.950000,0.003136,1130.680000,0.002011,1038.991000,0.005381,961.385600,0.006094,941.436800,0.003853,780.291500,0.003183,654.002900,0.004522,418.1
2001-06-29,0.004153,934.516800,0.005339,1120.837000,0.002161,1068.254000,0.001581,1132.467000,0.002230,1041.308000,0.003227,964.488000,0.002773,944.047400,0.003001,782.633100,0.002778,655.819700,0.001688,418.8
2001-07-31,0.038582,970.572400,0.038935,1164.477000,0.030526,1100.863000,0.028164,1164.362000,0.022406,1064.639000,0.013110,977.132500,0.007754,951.367600,0.003305,785.219700,0.002999,657.786500,-0.002809,417.6
