,1. open,2. high,3. low,4. close,5. volume
2020-01-02 07:00:00,278.7850,278.9850,278.6480,278.9230,350
2020-01-02 07:20:00,278.9720,279.1170,278.8350,279.0550,473
2020-01-02 08:00:00,278.9540,279.1350,278.7980,279.0740,867
2020-01-02 08:10:00,279.0470,279.1920,278.9010,279.1300,2200
2020-01-02 08:25:00,279.0470,279.1920,278.9100,279.1300,100
2020-01-02 08:35:00,279.0660,279.2100,278.9100,279.1300,630
2020-01-02 08:40:00,279.0940,279.2950,278.9570,279.2050,2400
2020-01-02 08:45:00,279.1410,279.2850,278.9660,279.1860,824
2020-01-02 08:50:00,279.1600,279.3230,279.0230,279.2610,1100
2020-01-02 08:55:00,279.1790,279.3230,279.0130,279.2420,639
2020-01-02 09:00:00,279.1410,279.2850,278.8910,279.1110,1660
2020-01-02 09:05:00,279.0190,279.1640,278.7880,279.0080,2600
2020-01-02 09:10:00,278.9630,279.1070,278.7980,279.0170,930
2020-01-02 09:15:00,278.9350,279.1260,278.7980,279.0640,1600
2020-01-02 09:20:00,278.9720,279.1170,278.7420,278.9990,26000
2020-01-02 09:25:00,278.9160,279.0700,278.5820,278.8390,105966
2020-01-02 09:30:00,278.7570,279.1350,278.4980,278.9520,557627
2020-01-02 09:35:00,278.8600,279.2390,278.7040,279.0920,113423
2020-01-02 09:40:00,279.0100,279.2570,278.7980,279.1200,31403
2020-01-02 09:45:00,279.0470,279.2810,278.7700,278.9890,35366
2020-01-02 09:50:00,278.9070,279.1260,278.6200,278.8770,66966
2020-01-02 09:55:00,278.8040,279.2010,278.6290,279.0830,28525
2020-01-02 10:00:00,279.0190,279.1780,278.5400,278.8340,27032
2020-01-02 10:05:00,278.7380,278.9380,278.5450,278.8480,36121
2020-01-02 10:10:00,278.7650,278.9480,278.2260,278.4640,34727
2020-01-02 10:15:00,278.3440,278.4880,277.8890,278.2810,53334
2020-01-02 10:20:00,278.1470,278.3600,277.8040,278.1820,34477
