,Date,Realized Volatility,Predicted Volatility
2023-04-05,2023-04-05,0.0057898386938384,0.008171840797244753
2023-04-06,2023-04-06,0.0054955567200239,0.008130806955296102
2023-04-10,2023-04-10,0.0085634806194749,0.006370677448738896
2023-04-11,2023-04-11,0.0038624291759898,0.006651241760483903
2023-04-12,2023-04-12,0.0090135300370304,0.007730059413304551
2023-04-13,2023-04-13,0.0053144707672928,0.006576254853632977
2023-04-14,2023-04-14,0.0072586361692688,0.007054041920497726
2023-04-17,2023-04-17,0.004169948063025,0.006397163545687407
2023-04-18,2023-04-18,0.0061186508927239,0.006856186029079041
2023-04-19,2023-04-19,0.0054252579396249,0.005293663139008452
2023-04-20,2023-04-20,0.0080587375850099,0.006119906328787557
2023-04-21,2023-04-21,0.0057103490595324,0.0053915167647732316
2023-04-24,2023-04-24,0.0039337845538581,0.005585335560533713
2023-04-25,2023-04-25,0.0065833381897638,0.005692845282963922
2023-04-26,2023-04-26,0.0055484794447217,0.008309405692716336
2023-04-27,2023-04-27,0.0079760836667907,0.007615126796842356
2023-04-28,2023-04-28,0.0070792230434708,0.007419343455264918
2023-05-01,2023-05-01,0.0045071005046427,0.006511812569631031
2023-05-02,2023-05-02,0.0071068252074632,0.004464990746049939
2023-05-03,2023-05-03,0.0070267697087788,0.007938050841299948
2023-05-04,2023-05-04,0.0086304034503348,0.008400302245748182
2023-05-05,2023-05-05,0.0118924652155763,0.00756978844213515
2023-05-08,2023-05-08,0.0042208895194229,0.008608792239766171
2023-05-09,2023-05-09,0.0060317980719206,0.005654525098584188
2023-05-10,2023-05-10,0.0113773871301693,0.006716591152507648
2023-05-11,2023-05-11,0.0076147663148083,0.006507559866519222
2023-05-12,2023-05-12,0.0066109976654099,0.0063768821626452475
2023-05-15,2023-05-15,0.0042333867964927,0.006515956554020491
2023-05-16,2023-05-16,0.0059028406518993,0.0057294230756017445
2023-05-17,2023-05-17,0.0067887370530112,0.0064509491029034185
2023-05-18,2023-05-18,0.0066581862522701,0.006259966408638305
2023-05-19,2023-05-19,0.00652425461996,0.005372160050656091
2023-05-22,2023-05-22,0.0058858146620133,0.007230580644933557
2023-05-23,2023-05-23,0.0074365185362057,0.004726697598447041
2023-05-24,2023-05-24,0.0074413905601216,0.008264632915336155
2023-05-25,2023-05-25,0.0086756003275739,0.007438666330349334
2023-05-26,2023-05-26,0.0059270139876367,0.007953329111712655
2023-05-30,2023-05-30,0.0084185620213689,0.007043319318704168
2023-05-31,2023-05-31,0.006689899053357,0.006170451313629371
2023-06-01,2023-06-01,0.0053807876294168,0.006926773001306417
2023-06-02,2023-06-02,0.0107641967119137,0.0052419856852909015
2023-06-05,2023-06-05,0.0065640304311517,0.00488866029170924
