DlyCalDt;AAPL;AMZN;AVGO;BRK.A;BRK.B;GOOG;GOOGL;JPM;LLY;META;MSFT;NVDA;TSLA;UNH;V;XOM;ABBV;BAC;COST;CRM;CVX;HD;JNJ;MA;MRK;PG;ABT;ACN;ADBE;AMAT;AMD;AMGN;CAT;CSCO;DHR;DIS;GE;INTU;KO;MCD;NEE;NFLX;ORCL;PEP;QCOM;TMO;TXN;VZ;WFC;WMT;PFE;SP500
04/01/16;584111705.45;300022290.00;39338997.20;159195245.00;163222939.25;255753791.04;222197714.64;234193490.60;91826340.99;234588766.80;434290000.00;17415060.00;29361659.25;110998957.68;146530294.70;322461254.94;94177774.67;171077046.40;70162022.58;50935440.00;167218987.45;166181162.67;278022533.12;104313185.54;146605136.64;213211306.01;64039539.60;63940482.62;45783493.73;21071850.43;2193840.00;119388360.00;39586089.66;134059246.39;62826928.80;170244270.44;310454729.69;24916697.52;184396964.00;107965483.40;47697713.52;47056282.40;150193615.00;143893173.27;74929400.00;55374847.50;54952303.12;186639204.51;270254385.83;196788343.78;197243420.85;18330362600.00
05/01/16;569474259.77;298515090.00;38022904.80;159767000.00;163847118.75;256008910.48;222809208.93;234598414.90;93200356.47;235759186.20;436271250.00;17694820.00;29364287.75;111208641.44;147633627.17;325208794.68;93785435.39;171077046.40;70333535.61;51161200.00;168649335.57;165369718.83;279184649.60;104511227.66;148476810.45;213891449.26;64024622.40;64273277.04;45967683.06;21094667.81;2178000.00;119260180.00;39172703.52;133450116.91;62943427.25;166805660.20;310758006.86;25331183.80;185049311.75;109453016.00;48162854.88;46072020.40;149731480.80;144883831.95;73464300.00;55279063.98;54375880.36;189202594.50;270152229.57;201463107.56;198663326.54;18385082700.00
06/01/16;558329840.90;297978150.00;36853352.10;160103565.00;163946987.47;256367456.72;222165530.73;231211775.30;92613075.66;236309971.80;428346250.00;16963140.00;28787332.00;110074442.92;145697956.17;322502884.33;93801782.86;167432678.40;69682665.65;50656560.00;161986924.59;163658079.48;277773508.16;102706843.90;146437524.06;211823813.78;63487603.20;64147694.24;45310575.18;20227607.37;1983960.00;118166880.00;38555535.48;132028814.79;62210172.30;165912944.08;305804479.75;25420945.16;184049045.20;108718432.00;48006272.64;50359979.20;150487700.40;144927537.48;72716800.00;54856020.10;54021936.56;185215098.96;264993338.44;203480300.15;195144429.83;18147688600.00
07/01/16;534765771.15;286339740.00;35681034.50;158615380.00;161637523.32;250427310.84;216802521.00;221861705.10;90208548.57;224720524.80;413447250.00;16290640.00;28341801.25;106833875.72;142833163.09;317340839.97;93523875.87;161393440.00;68086275.14;49335200.00;156246711.74;158992277.40;274536183.68;100825443.76;145152494.28;209973824.14;61966048.80;62263952.24;44359759.99;19634355.49;1801800.00;115346920.00;37228041.96;128983167.39;60613458.25;164491211.00;292864653.83;24932537.76;181004755.70;106202481.80;48218119.20;49024806.40;147210748.80;142144952.07;68979300.00;53602852.38;52282555.60;184197880.71;257433775.20;208219101.79;193847994.20;17721250100.00
08/01/16;537602767.68;285920550.00;35446018.00;157252900.00;160201910.47;246317819.32;213850378.71;216892179.60;90031256.25;223366510.20;414715250.00;15940940.00;27730675.00;104994377.28;141071702.48;310929913.91;90973670.55;158269696.00;66894479.47;48624720.00;154571698.81;157090455.90;271603223.04;98900034.26;142694176.44;206681930.81;60668252.40;61661154.80;43732520.65;19155190.51;1694880.00;113631570.00;36849589.86;125785237.62;60647722.50;164077916.50;287607849.55;24589332.56;180526367.35;106037200.40;48434571.12;47668236.60;145572273.00;141620485.71;68583125.00;53542987.68;50927456.48;182407576.59;253143212.28;203448281.22;191378593.00;17528085500.00
11/01/16;546307762.99;290955540.00;35401779.60;156571660.00;160239361.24;246855638.68;214482353.67;216560877.90;88945340.79;223779599.40;414477500.00;15967840.00;27316686.25;104441574.64;143084800.32;306766974.91;88080168.36;159415068.80;68042297.44;48591520.00;152012128.49;159474072.18;269970726.08;99659195.72;143169078.75;208586331.91;60757755.60;62307906.22;44494168.42;19029694.92;1853280.00;111358260.00;35789923.98;128272516.33;60613458.25;165185545.76;288922050.62;24816376.00;180830796.30;107148258.70;48623390.88;49200261.80;146790626.80;141955561.44;68874650.00;53830338.24;51787034.28;183465483.57;255850353.17;205625568.46;191810738.21;17546162200.00
12/01/16;554236516.68;291026190.00;35921580.80;157334000.00;160788639.20;250316988.92;218072322.54;217039424.80;89089390.80;228048187.80;418281500.00;16236840.00;27595307.25;106995904.08;144710763.96;313053012.80;89649525.48;159415068.80;68629399.74;49441440.00;154609339.55;161642148.69;271824578.56;100605396.96;144593785.68;208151040.23;61846711.20;63425593.14;44713204.38;19109555.75;1892880.00;113695660.00;35865614.40;128678602.65;60681986.75;167731439.88;289528604.96;25040779.40;183179248.20;107836931.20;48531283.68;49889245.20;148597151.40;142217794.62;69547400.00;54664453.06;52110640.04;182814463.89;262337275.68;203704432.66;191378593.00;17681740400.00
13/01/16;539986938.37;274032510.00;34093981.90;154495094.50;157605323.75;241522263.36;210532510.17;211075994.20;87870506.10;219029073.60;409247000.00;15741880.00;26325741.75;104107986.84;141497550.10;314926335.35;83666351.46;155145952.00;66898877.24;48040400.00;153066069.21;153920753.40;268448906.88;98129870.46;141520888.38;206355462.05;60086481.60;62326743.64;43956534.70;18482077.80;1782000.00;109676840.00;35452228.26;124871543.40;59290858.20;162804969.44;285484909.36;24209166.80;182005022.25;105706637.60;48181276.32;45601286.40;143177577.60;140586121.50;68919500.00;53387339.46;50381371.76;179640742.95;254011540.49;198261214.56;187489286.11;17236875200.00
14/01/16;551796900.16;279303000.00;34613783.10;155914750.00;159877337.13;246404008.32;213990817.59;214241766.00;91460675.58;225753247.80;420896750.00;15424460.00;27097206.50;105566242.08;142852519.80;329371733.68;89191796.32;156083075.20;67365040.86;48518480.00;160857702.39;151663925.22;273623092.16;99802226.14;144705527.40;207171633.95;61309692.00;63971878.32;44703248.20;19178007.89;1750320.00;115482640.00;36255711.18;125176108.14;59832233.35;163846471.58;293774485.34;24900857.28;182135491.80;107083982.60;48674049.84;45815256.40;146160443.80;139580894.31;71356350.00;54193517.42;50593738.04;182570331.51;258659650.32;201911372.58;192057678.33;17523378100.00
15/01/16;538545346.79;268554780.00;33170505.30;154090000.00;157468004.26;239415804.20;207875874.69;209971655.20;90020175.48;217950451.80;404095750.00;14585180.00;26940810.75;104146111.16;139039247.93;322960807.62;93736392.98;150564460.80;66138063.03;47051040.00;157470035.79;151169451.63;268393568.00;97601758.14;142861789.02;203988563.54;60474328.80;62333022.78;44389628.53;18345173.52;1607760.00;114080200.00;34858349.58;119896985.98;58379429.15;155233414.20;288012219.11;24153725.96;180482877.50;105761731.40;48476019.36;44522877.60;143345626.40;136842014.43;68500900.00;52984250.48;48571202.04;180780027.39;249363430.66;198293233.49;190205627.43;17114674600.00
